location,Ann Arbor,Ann Arbor,Ann Arbor
lat,42.33319,42.33319,42.33319
lon,-83.90625,-83.90625,-83.90625
asl,279.350,279.350,279.350
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Minimum,Maximum,Mean
timestamp,Ann Arbor Temperature [2 m elevation corrected],Ann Arbor Temperature [2 m elevation corrected],Ann Arbor Temperature [2 m elevation corrected]
20200416T0000,-3.9727228,4.2072773,0.1339439
20200417T0000,-0.24272278,1.4372772,0.30894387
20200418T0000,-1.7727228,11.277277,4.3793607
20200419T0000,2.0972772,12.177277,6.4072776
20200420T0000,-2.352723,13.457277,6.1464443
20200421T0000,-3.1727228,10.417277,2.3793604
20200422T0000,-3.7627227,6.4872775,1.3101939
20200423T0000,1.1772772,14.357277,6.978527
20200424T0000,3.3272772,11.577277,6.7101936
20200425T0000,0.25727722,13.277277,7.66186
20200426T0000,4.9072776,15.597277,9.991027
20200427T0000,-0.052722774,17.107279,9.291862
20200428T0000,8.977277,20.677279,13.961861
20200429T0000,11.467277,17.397278,14.152276
20200430T0000,7.7572775,12.867277,10.709361